task_title,task_description,location,materials,constraints,categories,skills_required,primary_type,group_or_solo,special_elements,alex_horne_role,series,episode,task_id,weirdness_score,creativity_required_score,physical_demand_score,technical_difficulty_score,entertainment_value_score,time_pressure_score,preparation_possible_score,luck_factor_score,task_unique_id,show_title,standardized_location,location_category,standardized_task_type,standardized_group_solo,std_weirdness_score,std_creativity_required_score,std_physical_demand_score,std_technical_difficulty_score,std_entertainment_value_score,std_time_pressure_score,std_preparation_possible_score,std_luck_factor_score
Catapult a shoe into a bathtub,"Contestants were required to build a homemade catapult to launch a shoe into a stationary bathtub. Only their feet could operate the catapult, and the contraption had to be assembled on a designated ""red green"" area.","The task was likely filmed in the outdoor area of the Taskmaster house, based on the typical format and description of the setup.","['shoe', 'stationary bathtub', 'red green mat or marked area', 'various unspecified building materials available in the Taskmaster house']","['Only feet could operate the catapult.', 'The bathtub and ""red green"" area could not be moved.', 'The contraption had to be built on the ""red green.""', 'Fastest time to complete the task won.']","['Physical', 'Engineering', 'Time-based', 'Creative', 'Problem-solving']","['Engineering creativity', 'Physical dexterity', 'Problem-solving', 'Spatial reasoning', 'Patience and persistence']",engineering,solo,"['engineering design', 'physical performance']","Alex Horne acted as the task supervisor, providing instructions and ensuring rules were followed.",10,3,447,8,9,6,7,9,7,3,5,10_3_447,Taskmaster UK,Garden,Outside House,Engineering,Solo,8,9,6,5,7,4,3,2
Draw an object on a rotating canvas,"Contestants were tasked with drawing a picture of an object that was shown on a card. The drawing had to be done on a rotating canvas, and contestants were not allowed to speak or communicate with their teammates in any way.","Likely conducted in an indoor setting such as a lab or studio, typical for artistic or creative tasks.","['Rotating canvas', 'Cards displaying objects']","['No verbal communication or any form of communication with teammates', 'The canvas was continuously rotating']","['Art', 'Team-Based', 'Communication Challenge', 'Time-Based']","['Artistic ability to accurately represent the object', 'Coordination to manage the rotating canvas', 'Non-verbal communication to signal completion or progress to teammates', 'Patience and focus under unconventional conditions']",Artistic,Group,['Non-verbal communication challenges'],"Observer or facilitator, ensuring rules were followed and providing guidance where necessary.",10,3,448,7,6,3,5,8,5,2,3,10_3_448,Taskmaster UK,Lab,Inside House,Creative,Solo,8,7,6,5,9,4,3,2
The Cheekiest Food,Contestants were instructed to bring in a food item they considered to be the 'cheekiest' to compete for points. The justification for why the food was cheeky was a crucial part of the task.,"Studio (in front of the Taskmaster, Greg Davies, and the contestants)",['Each contestant brought their own food item as their entry.'],"[""Contestants had to select and bring in a food item they considered 'cheeky.'"", ""The term 'cheekiest' was open to interpretation, allowing for creative, personal, or humorous justifications."", ""The winner of the prize task would receive all contestants' items at the end of the episode.""]","['Food-related', 'Humorous', 'Presentation-based', 'Creative interpretation']","['Creativity', 'Persuasion/Presentation', 'Humor']",performance,solo,['Involved humor and persuasive presentation.'],Alex Horne assisted in presenting the task and offered commentary.,10,4,449,7,9,1,1,8,2,8,2,10_4_449,Taskmaster UK,Lab,Inside House,Performance-based,Solo,8,9,2,3,8,5,3,2
Make this phone ring.,"Contestants were required to make a mobile phone ring. The phone was inside a locker, and its number was hidden somewhere in the environment. Contestants had to deduce the phone's number and call it to make it ring.","Taskmaster house, specifically in a room with a wall of 60 small black lockers.","['Mobile phone', 'Task brief', '60 numbered lockers']","['The phone had to ring audibly, not just vibrate.', 'Contestants were not given the phone number directly.', 'Scored on speed (fastest wins).']","['Problem-solving', 'Logic-based', 'Time-based', 'Observational']","['Problem-solving', 'Lateral thinking', 'Attention to detail', 'Composure under pressure']",Mental,solo,[],Task overseer; provided subtle guidance and clarification when necessary.,10,4,450,6,5,2,4,8,7,1,3,10_4_450,Taskmaster UK,Other,Other Locations,Problem-solving,Solo,8,7,2,4,8,5,9,3
Persuade the Security Guard to Look in Your Bag,"Contestants were required to persuade a security guard to look inside their bag without directly stating the bag's contents or revealing them. They had to do so while remaining on a marked spot and taking turns speaking, starting with the tallest contestant.","Outdoors, in front of the Taskmaster house","['A shopping bag, previously filled by the contestants with an item of their choice', 'A marked spot on the ground where contestants had to stand']","['Contestants could describe but not directly state what was in the bag', 'They could not show the contents of the bag', 'They had to remain on their designated spot at all times', 'Contestants were not allowed to physically interact with the security guard']","['Persuasion', 'Performance', 'Creativity', 'Improvisation']","['Persuasion', 'Creativity', 'Improvisation', 'Verbal Dexterity', 'Social Intelligence']",Performance-based,Solo,['Involved elements of acting and improvisation'],"Alex served as the taskmaster's assistant, likely overseeing and explaining task rules.",10,4,451,7,8,1,2,8,5,3,4,10_4_451,Taskmaster UK,Garden,Outside House,Performance-based,Solo,8,9,2,4,7,3,6,5
Drop this water balloon from the greatest height without it bursting.,Contestants were tasked with dropping a water balloon from the greatest height possible without it bursting upon impact. They had to use a winch system to elevate the balloon and strategize its landing to prevent bursting.,"Outdoor area of the Taskmaster house, likely in the garden or open space to accommodate the height requirement.","['Pre-filled water balloon', 'Winch system for elevating the balloon', 'Various outdoor surfaces (e.g., grass, bins, soft surfaces)']","['Contestants could not damage the balloon or remove any water.', 'The balloon had to be dropped, not thrown or propelled.', 'One attempt with a 10-minute time limit.']","['Physical', 'Risk assessment', 'Problem-solving', 'Time-based']","['Judgment and risk assessment', 'Understanding of physics (impact and cushioning)', 'Creativity in using surroundings to cushion the balloon', 'Precision and accuracy in dropping']",physical,solo,[],"Alex operated the winch and facilitated the task, providing guidance and measurements.",10,4,452,6,7,3,6,8,7,2,5,10_4_452,Taskmaster UK,Garden,Outside House,Engineering,Solo,8,7,4,6,9,5,3,2
Roll an edible sphere across the finish line,"Contestants were required to roll an edible sphere, such as an apple or tomato, across a finish line. The goal was to be the slowest to cross the line without stopping before it. The task was elimination-based, with the fastest sphere crossing the line resulting in the contestant's elimination.",Taskmaster studio,"['Edible spheres (including apples and tomatoes)', 'starting red line', 'green finish line']","['Contestants had to keep their feet behind the red line.', 'They had to stay on their designated spots.', 'The sphere had to cross the green finish line.', 'Slowest sphere to cross without stopping wins.']","['Food-related', 'Precision', 'Strategy', 'Elimination-based']","['Fine motor control', 'Strategic thinking', 'Basic physics understanding (momentum, friction)', 'Decision-making in sphere selection']",mental,solo,[],"Task assistant and referee, ensured rules were followed and provided commentary.",10,4,453,7,5,2,4,8,6,3,5,10_4_453,Taskmaster UK,Lab,Inside House,Physical,Solo,8,7,4,5,9,8,3,2
The Best Pointy Thing,"Contestants were tasked with bringing in the best pointy thing. The objects they chose needed to be pointy, and contestants had to justify why their chosen object was the best among the others. The task was subjective and relied on the humor and creativity of their explanations.",Studio,"['Meat thermometer', 'Self-help book', 'Hellraiser mask', 'Kebab stick', 'Venetian mask']","['Subjective judgment of Greg Davies', 'Evaluation based on pointiness and creativity']","['Object-based', 'Presentation', 'Comedy', 'Creativity']","['Creativity', 'Persuasiveness', 'Humor', 'Presentation skills']",Performance-based,Solo,['Involved humor and persuasive presentation'],Alex Horne assisted in the presentation and acted as an intermediary between the contestants and Greg Davies.,10,5,454,7,8,1,2,8,3,5,3,10_5_454,Taskmaster UK,Lab,Inside House,Creative,Solo,8,9,2,3,8,4,3,5
Bag the heaviest thing from the greatest distance,"Contestants had to bag an object using a Christmas tree bagging machine. Their score was determined by multiplying the weight of the object (in grams) by the distance from the bagging machine (in centimeters). The attempt ended once an item was successfully bagged, with a 20-minute time limit.",The task took place outdoors at the Taskmaster house grounds.,"['Christmas tree bagging machine', 'Various objects scattered around the grounds (e.g., trombone case, statue of a cow, bags of rice)', 'Measuring tools and additional items to aid in transporting or bagging objects (e.g., ladders, tubes)']","['Only items successfully bagged counted.', 'The attempt ended as soon as an item was bagged.', '20-minute time limit.']","['Physical', 'Engineering', 'Strategy', 'Time-based']","['Physical strength and coordination', 'Strategic thinking', 'Lateral thinking and creativity', 'Basic understanding of physics']",physical,solo,[],"Alex acted as the task facilitator, providing instructions and measuring the outcomes.",10,5,455,7,8,6,5,9,7,3,4,10_5_455,Taskmaster UK,Garden,Outside House,Physical,Solo,8,7,6,5,9,7,4,3
Paint a Howling Wolf on a Rotating Teapot,"Contestants were tasked with painting a picture of a howling wolf on a teapot. The teapot was placed on a turntable that kept rotating and increasing in speed until the contestants named 20 American states, at which point the rotation would slow down.",Taskmaster lab/house,"['A teapot', 'A turntable with variable speed control', 'Painting supplies (brushes and paint)']","['Contestants could not touch the teapot or remove it from the turntable.', 'They could not tamper with the turntable or its power.', 'The turntable would speed up until 20 American states were named.', 'Time limit of ten minutes.']","['Art', 'Time-based', 'Knowledge-based (geography)', 'Coordination']","['Artistic ability to paint a recognizable wolf', 'Knowledge of American geography', 'Hand-eye coordination', 'Time management', 'Adaptability']",artistic,solo,['Involved artistic expression and a mental recall challenge.'],"Task presenter and overseer, maintaining the rules and providing guidance.",10,5,456,8,7,4,7,9,8,3,4,10_5_456,Taskmaster UK,Lab,Inside House,Creative,Solo,9,8,6,7,8,7,4,3
